Country,ISO,Region,Year,FreedomScore,FreedomStatus
Malta,MLT,Europe,2023,67.5,Mostly Free
Mauritania,MRT,Sub-Saharan Africa,2023,55.3,Moderately Free
Mauritius,MUS,Sub-Saharan Africa,2023,70.6,Mostly Free
Mexico,MEX,Americas,2023,63.2,Mostly Free
Micronesia,FSM,Asia-Pacific,2023,62.6,Mostly Free
Moldova,MDA,Europe,2023,58.5,Moderately Free
Mongolia,MNG,Asia-Pacific,2023,61.7,Mostly Free
Montenegro,MNE,Europe,2023,60.9,Mostly Free
Morocco,MAR,Middle East and North Africa,2023,58.4,Moderately Free
Mozambique,MOZ,Sub-Saharan Africa,2023,52.5,Moderately Free
Namibia,NAM,Sub-Saharan Africa,2023,57.7,Moderately Free
Nepal,NPL,Asia-Pacific,2023,51.4,Moderately Free
Netherlands,NLD,Europe,2023,78,Mostly Free
New Zealand,NZL,Asia-Pacific,2023,78.9,Mostly Free
Nicaragua,NIC,Americas,2023,54.9,Moderately Free
Niger,NER,Sub-Saharan Africa,2023,53.7,Moderately Free
Nigeria,NGA,Sub-Saharan Africa,2023,53.9,Moderately Free
North Korea,PRK,Asia-Pacific,2023,2.9,Unfree
North Macedonia,MKD,Europe,2023,63.7,Mostly Free
Norway,NOR,Europe,2023,76.9,Mostly Free
Oman,OMN,Middle East and North Africa,2023,58.5,Moderately Free
Pakistan,PAK,Asia-Pacific,2023,49.4,Moderately Free
Panama,PAN,Americas,2023,63.8,Mostly Free
Papua New Guinea,PNG,Asia-Pacific,2023,51.7,Moderately Free
Paraguay,PRY,Americas,2023,61,Mostly Free
Peru,PER,Americas,2023,66.5,Mostly Free
Philippines,PHL,Asia-Pacific,2023,59.3,Moderately Free
Poland,POL,Europe,2023,67.7,Mostly Free
Portugal,PRT,Europe,2023,69.5,Mostly Free
Qatar,QAT,Middle East and North Africa,2023,68.6,Mostly Free
Republic of Congo,COG,Sub-Saharan Africa,2023,48.1,Moderately Free
Romania,ROU,Europe,2023,64.5,Mostly Free
Russia,RUS,Europe,2023,53.8,Moderately Free
Rwanda,RWA,Sub-Saharan Africa,2023,52.2,Moderately Free
Saint Lucia,LCA,Americas,2023,60.7,Mostly Free
Saint Vincent and the Grenadines,VCT,Americas,2023,63.5,Mostly Free
Samoa,WSM,Asia-Pacific,2023,68.3,Mostly Free
São Tomé and Príncipe,STP,Sub-Saharan Africa,2023,61.5,Mostly Free
Saudi Arabia,SAU,Middle East and North Africa,2023,58.3,Moderately Free
Senegal,SEN,Sub-Saharan Africa,2023,57.7,Moderately Free
Serbia,SRB,Europe,2023,63.5,Mostly Free
Seychelles,SYC,Sub-Saharan Africa,2023,59.5,Moderately Free
Sierra Leone,SLE,Sub-Saharan Africa,2023,50.2,Moderately Free
Singapore,SGP,Asia-Pacific,2023,83.9,Free
Slovakia,SVK,Europe,2023,69,Mostly Free
Slovenia,SVN,Europe,2023,68.5,Mostly Free
Solomon Islands,SLB,Asia-Pacific,2023,56.9,Moderately Free
Somalia,SOM,Sub-Saharan Africa,2023,,NA
South Africa,ZAF,Sub-Saharan Africa,2023,55.7,Moderately Free
South Korea,KOR,Asia-Pacific,2023,73.7,Mostly Free
Spain,ESP,Europe,2023,65,Mostly Free
Sri Lanka,LKA,Asia-Pacific,2023,52.2,Moderately Free
Sudan,SDN,Sub-Saharan Africa,2023,32.8,Mostly Unfree
Suriname,SUR,Americas,2023,46.1,Moderately Free
Sweden,SWE,Europe,2023,77.5,Mostly Free
Switzerland,CHE,Europe,2023,83.8,Free
Syria,SYR,Middle East and North Africa,2023,,NA
Taiwan,TWN,Asia-Pacific,2023,80.7,Free
Tajikistan,TJK,Asia-Pacific,2023,50.6,Moderately Free
Tanzania,TZA,Sub-Saharan Africa,2023,60,Mostly Free
Thailand,THA,Asia-Pacific,2023,60.6,Mostly Free
The Bahamas,BHS,Americas,2023,62.6,Mostly Free
The Gambia,GMB,Sub-Saharan Africa,2023,57.9,Moderately Free
Timor-Leste,TLS,Asia-Pacific,2023,47.2,Moderately Free
Togo,TGO,Sub-Saharan Africa,2023,55.3,Moderately Free
Tonga,TON,Asia-Pacific,2023,60,Mostly Free
Trinidad and Tobago,TTO,Americas,2023,59.5,Moderately Free
Tunisia,TUN,Middle East and North Africa,2023,52.9,Moderately Free
Türkiye,TUR,Europe,2023,56.9,Moderately Free
Turkmenistan,TKM,Asia-Pacific,2023,46.5,Moderately Free
Uganda,UGA,Sub-Saharan Africa,2023,51.4,Moderately Free
Ukraine,UKR,Europe,2023,,NA
United Arab Emirates,ARE,Middle East and North Africa,2023,70.9,Mostly Free
United Kingdom,GBR,Europe,2023,69.9,Mostly Free
United States,USA,Americas,2023,70.6,Mostly Free
Uruguay,URY,Americas,2023,70.2,Mostly Free
Uzbekistan,UZB,Asia-Pacific,2023,56.5,Moderately Free
Vanuatu,VUT,Asia-Pacific,2023,62.1,Mostly Free
Venezuela,VEN,Americas,2023,25.8,Mostly Unfree
Vietnam,VNM,Asia-Pacific,2023,61.8,Mostly Free
Yemen,YEM,Middle East and North Africa,2023,,NA
Zambia,ZMB,Sub-Saharan Africa,2023,47.8,Moderately Free
Zimbabwe,ZWE,Sub-Saharan Africa,2023,39,Mostly Unfree
